name	unique reads 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32180626-180628-190531_Brain_S32(total)	coordinateString 180626-180628-190531_Brain_S32 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
Homo_sapiens_chr17.trna19-ArgTCG:tRNA	35.0	4499.0	4464.8	133165.60603818262	431.7577964479356	17:hsa;Homo_sapiens_chr17.trna19-ArgTCG:tRNA,75035113,75035185,+	132153.3224803907	428.47570784190776
Homo_sapiens_chr1.trna38-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna38-LeuCAG:tRNA,161456332,161456414,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna38-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	6:hsa;Homo_sapiens_chr1.trna38-LeuCAG:tRNA,26521208,26521290,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna67-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna67-LeuCAG:tRNA,161441533,161441615,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr6.trna7-LeuCAG:tRNA	56.0	2616.0	49.393916056988814	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr6.trna7-LeuCAG:tRNA,161530342,161530424,-	1462.00728302468	4.740210792331584
Homo_sapiens_chr1.trna42-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	6:hsa;Homo_sapiens_chr1.trna42-LeuCAG:tRNA,26521208,26521290,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna34-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	6:hsa;Homo_sapiens_chr1.trna34-LeuCAG:tRNA,26521208,26521290,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna67-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	6:hsa;Homo_sapiens_chr1.trna67-LeuCAG:tRNA,26521208,26521290,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna40-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	6:hsa;Homo_sapiens_chr1.trna40-LeuCAG:tRNA,26521208,26521290,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna34-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna34-LeuCAG:tRNA,161456332,161456414,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna34-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna34-LeuCAG:tRNA,161471123,161471205,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna42-LeuCAG:tRNA	56.0	2616.0	49.393916056988814	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna42-LeuCAG:tRNA,161530342,161530424,-	1462.00728302468	4.740210792331584
Homo_sapiens_chr1.trna38-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna38-LeuCAG:tRNA,161463742,161463824,+	1462.0072830246797	4.740210792331583
Homo_sapiens_chr1.trna38-LeuCAG:tRNA	56.0	2616.0	49.393916056988814	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna38-LeuCAG:tRNA,161530342,161530424,-	1462.00728302468	4.740210792331584
Homo_sapiens_chr1.trna34-LeuCAG:tRNA	56.0	2616.0	49.39391605698881	77430.81249075032	251.05098811020216	1:hsa;Homo_sapiens_chr1.trna34-LeuCAG:tRNA,161463742,161463824,+	1462.0072830246797	4.740210792331583
